MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,HeatingQC,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,MoSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths,Remodeled,Age when Sold
20,RL,69.0,10920,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,5,1,Attchd,1960.0,RFn,1,TA,0,213,5,WD,Normal,157000,3759,2.5,No,48
45,RM,51.0,6120,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Ex,TA,5,0,Detchd,1991.0,Unf,2,TA,48,112,7,WD,Normal,132000,2540,1.0,Yes,6
20,RL,69.0,11241,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,Ex,TA,5,1,Attchd,1970.0,Fin,2,TA,0,0,3,WD,Normal,149000,3012,2.0,No,40
90,RL,72.0,10791,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,Gable,MetalSd,MetalSd,None,0.0,TA,TA,Slab,TA,TA,6,0,CarPort,1967.0,Unf,2,TA,0,0,10,WD,Normal,90000,2592,2.0,No,39
20,RL,66.0,13695,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,Gd,6,0,Detchd,2004.0,Unf,2,TA,0,102,6,WD,Normal,159000,3342,2.5,No,4
20,RL,70.0,7560,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,6,0,Attchd,1958.0,Unf,1,TA,0,0,5,COD,Abnorml,139000,3707,1.0,Yes,44
60,RL,101.0,14215,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,Gd,9,1,BuiltIn,2005.0,RFn,3,TA,240,154,11,New,Partial,325300,5910,3.5,Yes,0
45,RM,57.0,7449,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,Ex,Gd,6,1,Attchd,1930.0,Unf,1,TA,0,0,6,WD,Normal,139400,2853,1.0,Yes,57
20,RL,75.0,9742,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Ex,Gd,7,1,Attchd,2002.0,RFn,2,TA,171,159,9,WD,Normal,230000,5367,2.0,No,6
120,RM,44.0,4224,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,Gable,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,6,1,Attchd,1976.0,Unf,2,TA,100,110,6,WD,Normal,129900,3160,2.0,No,31
20,RL,69.0,8246,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,Plywood,Plywood,None,0.0,TA,Gd,CBlock,Ex,Gd,6,1,Attchd,1968.0,Unf,1,TA,406,90,5,WD,Normal,154000,3180,2.0,Yes,9
20,RL,110.0,14230,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Ex,Gd,7,1,Attchd,2007.0,RFn,3,TA,0,56,7,WD,Normal,256300,4766,2.0,No,2
20,RL,60.0,7200,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Gd,5,0,Detchd,2005.0,Unf,2,TA,222,32,5,WD,Normal,134800,2700,1.5,Yes,10
20,RL,98.0,11478,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,Gd,7,1,Attchd,2008.0,RFn,3,TA,0,50,5,WD,Normal,306000,5112,3.0,Yes,2
20,RL,47.0,16321,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,6,2,Attchd,1957.0,RFn,1,TA,288,258,12,WD,Normal,207500,4684,2.0,Yes,9
30,RM,60.0,6324,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,Fa,4,0,Detchd,1920.0,Unf,1,Fa,49,0,5,WD,Normal,68500,1560,1.0,Yes,58
70,C (all),50.0,8500,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,Gambrel,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,6,0,Detchd,1920.0,Unf,1,TA,0,54,7,WD,Normal,40000,3283,1.0,Yes,58
20,RL,69.0,8544,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,Gd,6,0,Attchd,1966.0,Unf,1,TA,0,65,6,WD,Normal,149350,3684,1.5,Yes,2
20,RL,85.0,11049,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,7,0,Attchd,2007.0,RFn,2,TA,0,30,1,WD,Normal,179900,3702,2.0,No,1
20,RL,70.0,10552,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,Gd,Gd,6,1,Attchd,1959.0,RFn,2,TA,0,38,4,WD,Normal,165500,4798,2.0,No,51
120,RL,60.0,7313,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,Ex,6,1,Attchd,2005.0,Fin,2,TA,203,47,8,WD,Normal,277500,4683,3.0,No,2
60,RL,108.0,13418,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,Gd,9,1,BuiltIn,2004.0,Fin,3,TA,113,32,9,WD,Normal,309000,6021,3.5,Yes,1
20,RL,112.0,10859,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,6,0,Attchd,1995.0,Unf,2,TA,392,64,6,WD,Normal,145000,3291,1.5,Yes,14
20,RL,74.0,8532,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,Gd,TA,5,1,Attchd,1954.0,Fin,2,TA,0,0,10,WD,Normal,153000,3891,1.5,Yes,19
20,RL,68.0,7922,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Gd,5,0,Detchd,1953.0,Unf,1,TA,0,52,1,WD,Abnorml,109000,3171,2.0,Yes,3
90,RL,65.0,6040,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,Gable,AsbShng,Plywood,None,0.0,TA,TA,PConc,TA,Fa,6,0,NA,1980.0,NA,0,NA,0,0,6,WD,AdjLand,82000,2304,2.0,No,53
20,RL,84.0,8658,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,Ex,TA,6,1,Attchd,1965.0,RFn,2,TA,0,138,12,WD,Abnorml,160000,3736,2.0,No,41
20,RL,115.0,16905,Reg,Lvl,Inside,Timber,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,Gd,TA,5,2,Attchd,1959.0,RFn,1,TA,0,104,7,WD,Normal,170000,4006,2.0,No,48
85,RL,69.0,9180,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,Gd,5,0,Attchd,1983.0,RFn,2,TA,240,0,12,WD,Normal,144000,2608,2.0,No,24
20,RL,69.0,9200,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,Hip,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,5,0,Detchd,1977.0,Unf,1,TA,145,0,7,WD,Normal,130250,2814,2.0,Yes,28
20,RL,70.0,7945,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,Ex,TA,6,0,Attchd,1959.0,RFn,1,TA,0,0,5,WD,Normal,141000,3450,2.0,No,47
120,RL,61.0,7658,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,Ex,6,1,Attchd,2005.0,RFn,2,TA,196,82,2,WD,Normal,319900,5256,3.0,No,5
50,RL,48.0,12822,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,6,1,Attchd,2003.0,RFn,2,TA,168,43,8,WD,Abnorml,239686,5732,2.5,No,6
20,FV,84.0,11096,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,7,0,Attchd,2006.0,RFn,3,TA,0,146,7,WD,Normal,249700,4968,2.0,No,1
190,RM,33.0,4456,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Gd,TA,8,0,NA,1980.0,NA,0,NA,0,0,6,New,Partial,113000,3640,2.0,Yes,1
20,RL,66.0,7742,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Ex,TA,6,0,Attchd,1966.0,Unf,1,TA,0,0,1,WD,Normal,127000,2865,2.0,No,41
60,RL,69.0,13869,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,6,0,Attchd,1997.0,Fin,2,TA,0,75,7,WD,Normal,177000,3734,2.5,No,10
50,RM,52.0,6240,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,6,1,Detchd,1985.0,Unf,2,TA,112,0,9,WD,Normal,114500,2808,1.0,Yes,56
90,RM,110.0,8472,IR2,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,TA,TA,5,0,CarPort,1963.0,Unf,2,TA,106,0,5,WD,Normal,110000,2448,2.0,No,47
20,RL,68.0,50271,IR1,Low,Inside,Veenker,Norm,1Fam,1Story,9,Gable,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Gd,Gd,5,1,Attchd,1981.0,Fin,3,TA,857,72,11,WD,Normal,385000,5526,2.5,Yes,19
80,RL,60.0,7134,Reg,Bnk,Inside,NAmes,Norm,1Fam,SLvl,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,6,1,Detchd,1962.0,Unf,2,TA,0,50,2,WD,Normal,130000,3104,1.0,No,52
20,RL,100.0,10175,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Gable,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,Gd,TA,7,1,Attchd,1964.0,RFn,2,TA,0,0,7,WD,Normal,180500,4275,2.0,No,44
160,FV,24.0,2645,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Ex,Gd,7,0,Attchd,1999.0,Fin,2,TA,115,0,8,WD,Abnorml,172500,4448,3.5,Yes,9
60,RL,89.0,11645,IR1,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,7,0,Attchd,2004.0,RFn,2,TA,0,70,8,WD,Normal,196500,4300,2.5,No,2
60,RL,66.0,13682,IR2,HLS,CulDSac,StoneBr,Norm,1Fam,2Story,10,Hip,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,Gd,10,1,BuiltIn,2006.0,Fin,3,TA,192,0,10,New,Partial,438780,7300,3.5,No,0
20,RL,60.0,7200,Reg,Bnk,Inside,CollgCr,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Ex,TA,4,0,Detchd,1973.0,Unf,1,TA,196,0,1,WD,Normal,124900,2340,1.0,No,36
20,RL,63.0,13072,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,6,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,Gd,5,0,Detchd,2006.0,Unf,2,TA,0,50,5,New,Partial,158000,3474,2.5,No,2
75,RM,60.0,7200,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,2.5Unf,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,6,0,Detchd,1935.0,Unf,1,TA,0,0,3,WD,Normal,101000,2752,1.0,Yes,11
120,RL,44.0,6442,IR1,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,8,Gable,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Ex,Gd,6,1,Attchd,2006.0,RFn,2,TA,120,49,10,WD,Normal,202500,4110,2.0,No,1
70,RM,50.0,10300,IR1,Bnk,Inside,OldTown,RRAn,1Fam,2Story,7,Gable,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Gd,TA,9,0,Detchd,1990.0,Unf,2,TA,12,11,4,WD,Normal,140000,3996,2.0,Yes,60
60,RL,69.0,9375,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Ex,Gd,8,0,Attchd,1998.0,RFn,2,TA,576,36,2,WD,Normal,219500,5125,3.5,Yes,11
60,RL,76.0,9591,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,Gd,9,1,BuiltIn,2004.0,RFn,3,TA,192,151,10,WD,Normal,317000,6089,2.5,Yes,2
20,RL,69.0,19900,Reg,Lvl,Inside,NAmes,PosA,1Fam,1Story,7,Gable,Plywood,Plywood,BrkFace,287.0,TA,TA,CBlock,TA,TA,7,1,Attchd,1970.0,RFn,2,TA,301,0,7,WD,Normal,180000,6361,3.0,Yes,21
20,RL,72.0,10665,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,Ex,Gd,7,0,Attchd,2003.0,RFn,2,TA,144,29,6,WD,Normal,226000,4411,3.0,No,4
30,RM,47.0,4608,Reg,Lvl,Corner,OldTown,Artery,1Fam,1Story,4,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,4,0,Attchd,1945.0,Unf,1,TA,0,0,6,WD,Normal,80000,2241,1.0,Yes,60
50,RL,81.0,15593,Reg,Lvl,Corner,ClearCr,Norm,1Fam,1.5Fin,7,Gable,BrkFace,AsbShng,None,0.0,Gd,TA,CBlock,TA,TA,7,1,Attchd,1953.0,Fin,2,TA,0,21,7,WD,Normal,225000,5878,2.0,No,53
20,RL,95.0,13651,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,7,Gable,Plywood,Plywood,BrkFace,1115.0,TA,Gd,CBlock,Ex,TA,8,2,Attchd,1973.0,Fin,2,TA,300,0,2,WD,Normal,244000,6669,3.0,No,34
20,RL,69.0,7599,Reg,Lvl,Corner,Mitchel,Norm,1Fam,1Story,4,Gable,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,4,0,Detchd,1987.0,Unf,2,TA,0,0,6,WD,Normal,129500,2535,2.0,Yes,1
60,RL,74.0,10141,IR1,Lvl,Corner,Gilbert,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,40.0,TA,TA,PConc,Gd,TA,7,1,Attchd,1998.0,Fin,2,TA,0,94,12,WD,Normal,185000,4268,2.5,No,11
20,RL,85.0,10200,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,TA,CBlock,Gd,TA,6,0,Attchd,1989.0,Unf,2,TA,0,0,5,WD,Normal,144900,3258,2.0,Yes,7
50,RM,60.0,5790,Reg,Lvl,Corner,OldTown,Norm,1Fam,2Story,3,Gambrel,VinylSd,VinylSd,None,0.0,Gd,Gd,CBlock,Gd,TA,8,0,Detchd,1915.0,Unf,1,TA,0,0,5,WD,Normal,107400,4050,2.0,Yes,60
180,RM,21.0,1596,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,SLvl,4,Gable,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,5,0,BuiltIn,1973.0,Unf,1,TA,120,101,11,WD,Normal,91000,2438,2.0,No,36
20,RL,69.0,8475,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,4,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Ex,TA,4,0,Detchd,1956.0,Unf,1,TA,0,0,4,WD,Normal,135750,2856,1.0,No,52
50,RM,50.0,8635,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,5,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,6,0,Detchd,1948.0,Unf,1,TA,0,0,1,WD,Normal,127000,3242,2.0,Yes,7
90,RL,72.0,10778,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,8,0,NA,1980.0,NA,0,NA,0,0,4,WD,Normal,136500,5304,2.0,No,42
50,RM,60.0,10440,Reg,Lvl,Corner,OldTown,Norm,1Fam,2Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,Gd,TA,5,0,Detchd,1966.0,Unf,2,TA,74,0,5,WD,Normal,110000,2900,1.5,Yes,28
60,RL,100.0,13000,Reg,Lvl,Corner,NAmes,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,BrkFace,576.0,TA,Gd,CBlock,TA,Gd,8,1,Attchd,1968.0,Fin,1,TA,0,72,6,WD,Normal,193500,5180,2.5,No,41
120,RM,32.0,4500,Reg,Lvl,FR2,Mitchel,Norm,TwnhsE,1Story,6,Hip,VinylSd,VinylSd,BrkFace,443.0,TA,Gd,PConc,Ex,TA,5,0,Attchd,1998.0,Fin,2,TA,0,199,3,WD,Normal,153500,3911,3.0,No,8
20,RL,78.0,10206,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,468.0,TA,TA,PConc,Ex,Gd,6,1,Attchd,2007.0,RFn,3,TA,144,99,10,WD,Normal,245000,4689,2.0,No,1
20,RL,80.0,8892,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,BrkCmn,66.0,TA,TA,CBlock,Gd,TA,6,0,Detchd,1974.0,Unf,2,TA,74,0,7,COD,Normal,126500,3195,1.5,No,47
80,RL,69.0,8530,IR1,Lvl,Inside,Gilbert,Norm,1Fam,SLvl,7,Gable,HdBoard,HdBoard,BrkFace,22.0,TA,TA,PConc,Gd,TA,7,1,BuiltIn,1995.0,Fin,2,TA,120,72,5,WD,Normal,168500,3332,2.5,Yes,13
60,RL,121.0,16059,Reg,Lvl,Corner,NoRidge,Norm,1Fam,2Story,8,Hip,HdBoard,HdBoard,BrkFace,284.0,Gd,TA,CBlock,Ex,Gd,9,1,Attchd,1991.0,Unf,2,TA,127,82,4,WD,Normal,260000,6122,2.5,Yes,14
60,RL,122.0,11911,IR2,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,6,1,BuiltIn,2005.0,Fin,2,TA,100,38,3,WD,Normal,174000,3804,2.5,No,4
160,FV,40.0,3951,Reg,Lvl,Corner,Somerst,Norm,TwnhsE,2Story,6,Gable,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,Ex,Gd,4,0,Detchd,2009.0,RFn,2,TA,0,234,6,New,Partial,164500,3060,2.5,No,0
50,C (all),105.0,8470,IR1,Lvl,Corner,IDOTRR,Feedr,1Fam,1.5Fin,3,Hip,Plywood,Plywood,None,0.0,Fa,Fa,CBlock,TA,Fa,6,0,NA,1980.0,NA,0,NA,0,0,10,ConLD,Abnorml,85000,3552,1.0,Yes,27
20,RL,60.0,8070,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,4,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,5,0,NA,1980.0,NA,0,NA,0,0,8,WD,Normal,123600,2970,2.0,Yes,12
20,RL,60.0,7200,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,4,Gable,BrkFace,Wd Sdng,None,0.0,TA,TA,Slab,TA,TA,4,0,Detchd,1950.0,Unf,2,TA,0,29,7,WD,Normal,109900,2080,1.0,No,56
20,RL,85.0,8500,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,HdBoard,HdBoard,BrkCmn,203.0,TA,TA,CBlock,TA,TA,6,0,Attchd,1961.0,Unf,2,TA,0,0,12,WD,Abnorml,98600,3705,1.0,No,45
30,RL,80.0,13360,IR1,HLS,Inside,Crawfor,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,Ex,TA,5,0,Detchd,1921.0,Unf,2,TA,0,0,8,WD,Normal,163500,2804,2.0,Yes,3
190,C (all),60.0,7200,Reg,Lvl,Corner,OldTown,Norm,2fmCon,2.5Unf,6,Hip,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Ex,TA,9,1,Detchd,1900.0,Unf,2,TA,0,0,11,WD,Normal,133900,5796,2.5,Yes,9
60,RL,69.0,9337,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Ex,Gd,7,0,Attchd,1997.0,RFn,2,TA,0,162,5,WD,Normal,204750,4396,3.5,No,10
60,RL,69.0,9765,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,BrkFace,68.0,Ex,Gd,PConc,Gd,TA,6,1,BuiltIn,1993.0,Fin,2,TA,232,63,4,WD,Normal,185000,3620,2.5,No,16
